Student Number,School Year,Payment Mode,Purpose of Payment,Date of Payment,Amount,Remarks,Transaction Number,Bank Name,Bank Branch,Check Number,Issuing Bank,Card Number,Signatory in Letter,Date to Pay
23070267,2025,ONLINE_GATEWAY,ADDITIONAL_BOOKS,06/03/2025,4782.0, ,2307026720250603205225,OG_VMC, , , , , , 
22070505,2025,ONLINE_GATEWAY,TUITION,06/03/2025,130816.7, ,2207050520250603203716,OG_VMC, , , , , , 
23070365,2025,ONLINE_GATEWAY,TUITION,06/03/2025,65286.5, ,2307036520250603203320,OG_VMC, , , , , , 
22070238,2025,ONLINE_GATEWAY,TUITION,06/03/2025,250001.2, ,2207023820250603203220,OG_VMC, , , , , , 
24070356,2025,ONLINE_GATEWAY,TUITION,06/03/2025,36663.5, ,2407035620250603202824,OG_VMC, , , , , , 
24070288,2025,ONLINE_GATEWAY,TUITION,06/03/2025,66006.4, ,2407028820250603201132,OG_VMC, , , , , , 
24070246,2025,ONLINE_GATEWAY,TUITION,06/03/2025,237080.75, ,2407024620250603201026,OG_VMC, , , , , , 
23070455,2025,ONLINE_GATEWAY,TUITION,06/03/2025,238171.75, ,2307045520250603200319,OG_VMC, , , , , , 
23070075,2025,ONLINE_GATEWAY,TUITION,06/03/2025,238730.75, ,2307007520250603195427,OG_VMC, , , , , , 
22070462,2025,ONLINE_GATEWAY,TUITION,06/03/2025,130816.7, ,2207046220250603193730,OG_VMC, , , , , , 
24070370,2025,ONLINE_GATEWAY,TUITION,06/03/2025,35703.5, ,2407037020250603191458,OG_VMC, , , , , , 
24070378,2025,ONLINE_GATEWAY,TUITION,06/03/2025,124885.0, ,2407037820250603185343,OG_VMC, , , , , , 
25070690,2025,ONLINE_GATEWAY,ADDITIONAL_BOOKS,06/03/2025,6438.0, ,2507069020250603184947,OG_VMC, , , , , , 
24070504,2025,ONLINE_GATEWAY,TUITION,06/03/2025,65046.4, ,2407050420250603184201,OG_VMC, , , , , , 
24070697,2025,ONLINE_GATEWAY,TUITION,06/03/2025,124885.0, ,2407069720250603184117,OG_VMC, , , , , , 
23070390,2024,ONLINE_GATEWAY,TUITION,06/03/2025,193200.0, ,2307039020250603183712,OG_VMC, , , , , , 
23080020,2025,ONLINE_GATEWAY,TUITION,06/03/2025,38182.9, ,2308002020250603182825,OG_VMC, , , , , , 
24070719,2025,ONLINE_GATEWAY,TUITION,06/03/2025,239108.75, ,2407071920250603182244,OG_VMC, , , , , , 
24070632,2025,ONLINE_GATEWAY,TUITION,06/03/2025,5973.0, ,2407063220250603181617,OG_VMC, , , , , , 
24070796,2025,ONLINE_GATEWAY,TUITION,06/03/2025,239108.75, ,2407079620250603180300,OG_VMC, , , , , , 
22070037,2025,ONLINE_GATEWAY,TUITION,06/03/2025,67763.85, ,2207003720250603175318,OG_VMC, , , , , , 
24090008,2025,ONLINE_GATEWAY,TUITION,06/03/2025,250821.2, ,2409000820250603170620,OG_VMC, , , , , , 
24070183,2025,ONLINE_GATEWAY,TUITION,06/03/2025,124885.0, ,2407018320250603164517,OG_VMC, , , , , , 
24070055,2025,ONLINE_GATEWAY,TUITION,06/03/2025,35046.4, ,24070055,OG_VMC, , , , , , 
24070320,2025,ONLINE_GATEWAY,TUITION,06/03/2025,65046.4, ,2407032020250603163840,OG_VMC, , , , , , 
22070532,2025,ONLINE_GATEWAY,TUITION,06/03/2025,69003.85, ,2207053220250603162527,OG_VMC, , , , , , 
22070118,2025,ONLINE_GATEWAY,TUITION,06/03/2025,250821.2, ,2207011820250603162514,OG_VMC, , , , , , 
24070049,2025,ONLINE_GATEWAY,TUITION,06/03/2025,5013.0, ,2407004920250603162147,OG_VMC, , , , , , 
23070580,2025,ONLINE_GATEWAY,TUITION,06/03/2025,65923.5, ,2307058020250603161606,OG_VMC, , , , , , 
23070157,2025,ONLINE_GATEWAY,TUITION,06/03/2025,35129.25, ,2307015720250603161347,OG_VMC, , , , , , 
24090024,2025,ONLINE_GATEWAY,TUITION,06/03/2025,32189.9, ,2409002420250603161019,OG_VMC, , , , , , 
23070351,2025,ONLINE_GATEWAY,TUITION,06/03/2025,238730.75, ,2307035120250603160339,OG_VMC, , , , , , 
25070783,2025,ONLINE_GATEWAY,TUITION,06/03/2025,115106.9, ,2507078320250603160134,OG_VMC, , , , , , 
24070331,2024,ONLINE_GATEWAY,TUITION,06/03/2025,10000.0, ,2407033120250603155848,OG_VMC, , , , , , 
25080004,2025,ONLINE_GATEWAY,CONFIRMATION_FEE,06/03/2025,10000.0, ,2508000420250603154139,OG_VMC, , , , , , 
22070552,2025,ONLINE_GATEWAY,TUITION,06/03/2025,245066.2, ,2207055220250603153625,OG_VMC, , , , , , 
24070422,2024,ONLINE_GATEWAY,TUITION,06/03/2025,10000.0, ,2407042220250603153722,OG_VMC, , , , , , 
23080019,2025,ONLINE_GATEWAY,TUITION,06/03/2025,130637.7, ,2308001920250603153320,OG_VMC, , , , , , 
23070195,2025,ONLINE_GATEWAY,TUITION,06/03/2025,238228.75, ,2307019520250603151847,OG_VMC, , , , , , 
22070110,2025,ONLINE_GATEWAY,TUITION,06/03/2025,67972.85, ,2207011020250603150657,OG_VMC, , , , , , 
24070245,2025,ONLINE_GATEWAY,TUITION,06/03/2025,66006.4, ,2407024520250603145905,OG_VMC, , , , , , 
24070619,2024,ONLINE_GATEWAY,TUITION,06/03/2025,10000.0, ,2407061920250603145823,OG_VMC, , , , , , 
24070781,2025,ONLINE_GATEWAY,TUITION,06/03/2025,239108.75, ,2407078120250603145744,OG_VMC, , , , , , 
22070008,2025,ONLINE_GATEWAY,TUITION,06/03/2025,38182.9, ,2207000820250603144707,OG_VMC, , , , , , 
22070326,2025,ONLINE_GATEWAY,TUITION,06/03/2025,250821.2, ,2207032620250603145125,OG_VMC, , , , , , 
22070367,2025,ONLINE_GATEWAY,TUITION,06/03/2025,249180.2, ,2207036720250603145033,OG_VMC, , , , , , 
24070619,2024,ONLINE_GATEWAY,TUITION,06/03/2025,10000.0, ,2407061920250603144509,OG_VMC, , , , , , 
24070214,2025,ONLINE_GATEWAY,TUITION,06/03/2025,66006.4, ,2407021420250603144054,OG_VMC, , , , , , 
23070101,2025,ONLINE_GATEWAY,TUITION,06/03/2025,237579.75, ,2307010120250603143812,OG_VMC, , , , , , 
