Student Number,School Year,Payment Mode,Purpose of Payment,Date of Payment,Amount,Remarks,Transaction Number,Bank Name,Bank Branch,Check Number,Issuing Bank,Card Number,Signatory in Letter,Date to Pay
25070423,2025,ONLINE_GATEWAY,CONFIRMATION_FEE,04/27/2025,10000.0," ",2507042320250427161901,OG_VMC," "," "," "," "," "," "
21070225,2024,ONLINE_GATEWAY,TUITION,04/27/2025,29000.0," ",2107022520250427184358,OG_VMC," "," "," "," "," "," "
20070089,2024,ONLINE_GATEWAY,TUITION,04/27/2025,115700.0," ",2007008920250427171459,OG_VMC," "," "," "," "," "," "
21070185,2024,ONLINE_GATEWAY,TUITION,04/27/2025,58000.0," ",2107018520250427074721,OG_VMC," "," "," "," "," "," "
23070371,2024,ONLINE_GATEWAY,TUITION,04/25/2025,168900.0," ",23070371,BDO," "," "," "," "," "," "
23070469,2024,ONLINE_GATEWAY,TUITION,04/25/2025,192455.0," ",23070469,BDO," "," "," "," "," "," "
23070555,2024,ONLINE_GATEWAY,TUITION,04/25/2025,49900.0," ",23070555,BDO," "," "," "," "," "," "
24070669,2024,ONLINE_GATEWAY,TUITION,04/25/2025,20700.0," ",24070669,BDO," "," "," "," "," "," "
22070103,2024,ONLINE_GATEWAY,TUITION,04/25/2025,110400.0," ",22070103,BDO," "," "," "," "," "," "
25070263,2025,ONLINE_GATEWAY,CONFIRMATION_FEE,04/25/2025,10000.0," ",25070263,OG_VMC," "," "," "," "," "," "
23070088,2024,ONLINE_GATEWAY,TUITION,04/25/2025,26800.0," ",2307008820250425172539,OG_VMC," "," "," "," "," "," "
21070179,2024,ONLINE_GATEWAY,TUITION,04/25/2025,117000.0," ",21070179,OG_VMC," "," "," "," "," "," "
23070270,2024,ONLINE_GATEWAY,TUITION,04/25/2025,27600.0," ",23070270,BPI," "," "," "," "," "," "
22070381,2024,ONLINE_GATEWAY,TUITION,04/25/2025,50000.0," ",22070381,BPI," "," "," "," "," "," "
23070007,2024,ONLINE_GATEWAY,TUITION,04/25/2025,70000.0," ",23070007,BPI," "," "," "," "," "," "
24070469,2024,ONLINE_GATEWAY,TUITION,04/25/2025,300.0," ",24070469,BPI," "," "," "," "," "," "
22070035,2024,ONLINE_GATEWAY,TUITION,04/25/2025,33000.0," ",22070035,BPI," "," "," "," "," "," "
23070035,2024,ONLINE_GATEWAY,TUITION,04/25/2025,13950.0," ",23070035,BPI," "," "," "," "," "," "
25070190,2025,ONLINE_GATEWAY,CONFIRMATION_FEE,04/25/2025,10000.0," ",25070190,BPI," "," "," "," "," "," "
21070410,2024,ONLINE_GATEWAY,TUITION,04/25/2025,300.0," ",21070410,BPI," "," "," "," "," "," "
22070015,2024,ONLINE_GATEWAY,TUITION,04/25/2025,55000.0," ",22070015,BPI," "," "," "," "," "," "
25070530,2025,ONLINE_GATEWAY,CONFIRMATION_FEE,04/25/2025,10000.0," ",25070530,BPI," "," "," "," "," "," "
