Student Number,School Year,Payment Mode,Purpose of Payment,Date of Payment,Amount,Remarks,Transaction Number,Bank Name,Bank Branch,Check Number,Issuing Bank,Card Number,Signatory in Letter,Date to Pay
23070371,2024,ONLINE_GATEWAY,TUITION,04/25/2025,168900, ,23070371,BDO, , , , , , 
23070469,2024,ONLINE_GATEWAY,TUITION,04/25/2025,192455, ,23070469,BDO, , , , , , 
23070555,2024,ONLINE_GATEWAY,TUITION,04/25/2025,49900, ,23070555,BDO, , , , , , 
24070669,2024,ONLINE_GATEWAY,TUITION,04/25/2025,20700, ,24070669,BDO, , , , , , 
22070103,2024,ONLINE_GATEWAY,TUITION,04/25/2025,110400, ,22070103,BDO, , , , , , 
25070263,2025,ONLINE_GATEWAY,CONFIRMATION_FEE,04/25/2025,10000, ,25070263,OG_VMC, , , , , , 
21070179,2024,ONLINE_GATEWAY,TUITION,04/25/2025,117000, ,21070179,OG_VMC, , , , , , 
23070270,2024,ONLINE_GATEWAY,TUITION,04/25/2025,27600, ,23070270,BPI, , , , , , 
22070381,2024,ONLINE_GATEWAY,TUITION,04/25/2025,50000, ,22070381,BPI, , , , , , 
23070007,2024,ONLINE_GATEWAY,TUITION,04/25/2025,70000, ,23070007,BPI, , , , , , 
24070469,2024,ONLINE_GATEWAY,TUITION,04/25/2025,300, ,24070469,BPI, , , , , , 
22070035,2024,ONLINE_GATEWAY,TUITION,04/25/2025,33000, ,22070035,BPI, , , , , , 
23070035,2024,ONLINE_GATEWAY,TUITION,04/25/2025,13950, ,23070035,BPI, , , , , , 
25070190,2025,ONLINE_GATEWAY,CONFIRMATION_FEE,04/25/2025,10000, ,25070190,BPI, , , , , , 
21070410,2024,ONLINE_GATEWAY,TUITION,04/25/2025,300, ,21070410,BPI, , , , , , 
22070015,2024,ONLINE_GATEWAY,TUITION,04/25/2025,55000, ,22070015,BPI, , , , , , 
25070530,2025,ONLINE_GATEWAY,CONFIRMATION_FEE,04/25/2025,10000, ,25070530,BPI, , , , , , 
4170225,2025,ONLINE_GATEWAY,TUITION,04/15/2025,52774.15, ,4200382,MBTC, , , , , , 
8240355,2025,ONLINE_GATEWAY,TUITION,04/15/2025,52774.15, ,4200383,MBTC, , , , , , 
4160564,2025,ONLINE_GATEWAY,TUITION,04/15/2025,52774.15, ,4200384,MBTC, , , , , , 
4170459,2025,ONLINE_GATEWAY,TUITION,04/15/2025,300, ,4200385,MBTC, , , , , , 
4170459,2025,ONLINE_GATEWAY,TUITION,04/15/2025,1350.00, ,4200386,MBTC, , , , , , 
4210001,2025,ONLINE_GATEWAY,TUITION,04/15/2025,600, ,4200387,BDO, , , , , , 
4180337,2025,ONLINE_GATEWAY,TUITION,04/15/2025,600, ,4200388,BDO, , , , , , 
4160555,2025,ONLINE_GATEWAY,TUITION,04/15/2025,25246.95, ,4200389,BDO, , , , , , 
4160555,2025,ONLINE_GATEWAY,TUITION,04/15/2025,23892.05, ,4200390,BDO, , , , , , 
8250384,2025,ONLINE_GATEWAY,TUITION,04/15/2025,50000, ,4200394,MBTC, , , , , , 
8250384,2025,ONLINE_GATEWAY,TUITION,04/15/2025,51774.15, ,4200395,MBTC, , , , , , 
8250384,2025,ONLINE_GATEWAY,TUITION,04/15/2025,52774.15, ,4200396,MBTC, , , , , , 
