Student Number,School Year,Payment Mode,Purpose of Payment,Date of Payment,Amount,Remarks,Transaction Number,Bank Name,Bank Branch,Check Number,Issuing Bank,Card Number,Signatory in Letter,Date to Pay,RPA Remarks,RPA Status,Student Name,Grade
4180728,2024,ONLINE_GATEWAY,TUITION,04/14/2025,"49,100.00",,418072820250414145825,OG_VMC,,,,,,,Identified as for tuition,,,
8250384,2025,ONLINE_GATEWAY,TUITION,04/14/2025,"52,774.15",,825038420250414221317,OG_VMC,,,,,,,Identified as for tuition,,,
4220351,2024,ONLINE_GATEWAY,TUITION,04/15/2025,"160,300.00",,422035120250415075155,OG_VMC,,,,,,,Identified as for tuition,,,
4170225,2022,ONLINE_GATEWAY,TUITION,04/15/2025,"52,774.15",,4200382,MBTC,,,,,,,Identified as for tuition,,,
8240355,0,ONLINE_GATEWAY,TUITION,04/15/2025,"52,774.15",,4200383,MBTC,,,,,,,,,,
4160564,0,ONLINE_GATEWAY,TUITION,04/15/2025,"52,774.15",,4200384,MBTC,,,,,,,,,,
4170459,2022,ONLINE_GATEWAY,TUITION,04/15/2025,300,,4200385,MBTC,,,,,,,Identified as for tuition,,,
4170459,2022,ONLINE_GATEWAY,TUITION,04/15/2025,"1,350.00",,4200386,MBTC,,,,,,,Identified as for tuition,,,
4210001,2022,ONLINE_GATEWAY,TUITION,04/15/2025,600,,4200387,BDO,,,,,,,Identified as for tuition,,,
4180337,0,ONLINE_GATEWAY,TUITION,04/15/2025,600,,4200388,BDO,,,,,,,,,,
4160555,2022,ONLINE_GATEWAY,TUITION,04/15/2025,"25,246.95",,4200389,BDO,,,,,,,Identified as for tuition,,,
4160555,2022,ONLINE_GATEWAY,TUITION,04/15/2025,"23,892.05",,4200390,BDO,,,,,,,Identified as for tuition,,,
4160555,2022,ONLINE_GATEWAY,TUITION,04/15/2025,"22,892.05",,4200391,BDO,,,,,,,Identified as for tuition,,,
4180728,2024,ONLINE_GATEWAY,TUITION,04/15/2025,"49,100.00",,4200392,BDO,,,,,,,Identified as for tuition,,,
4180728,2024,ONLINE_GATEWAY,TUITION,04/15/2025,"30,000.00",,4200393,BDO,,,,,,,Identified as for tuition,,,
8250384,0,ONLINE_GATEWAY,TUITION,04/15/2025,50000,,4200394,MBTC,,,,,,,,,,
8250384,0,ONLINE_GATEWAY,TUITION,04/15/2025,51774.15,,4200395,MBTC,,,,,,,,,,
8250384,2025,ONLINE_GATEWAY,TUITION,04/15/2025,52774.15,,4200396,MBTC,,,,,,,Identified as for tuition,,,
8250267,2025,ONLINE_GATEWAY,TUITION,04/15/2025,30000,,4200397,MBTC,,,,,,,Identified as for tuition,,,
4210387,0,ONLINE_GATEWAY,TUITION,04/15/2025,30000,,4200398,MBTC,,,,,,,,,,
4230239,S.Y. 2024 - 2025 (Current),ONLINE_GATEWAY,TUITION,04/15/2025,30000,,4200399,MBTC,,,,,,,RPA could not identify payment for,Exception,,
999999,0,ONLINE_GATEWAY,TUITION,03/25/2025,45700," ",4220232,MBTC,,,,,,,,,,
4220999,S.Y. 2024 - 2025 (Current),ONLINE_GATEWAY,TUITION,03/25/2025,45700," ",4220232,MBTC,,,,,,,RPA could not identify payment for,Exception,,
4220232,0,ONLINE_GATEWAY,TUITION,03/25/2025,45700," ",4220232,MBTC,," "," "," "," "," ",,,,
4200381,0,ONLINE_GATEWAY,TUITION,03/25/2025,46400.01," ",4200381,MBTC,," "," "," "," "," ",,,,
