Student Number,School Year,Payment Mode,Purpose of Payment,Date of Payment,Amount,Remarks,Transaction Number,Bank Name,Bank Branch,Check Number,Issuing Bank,Card Number,Signatory in Letter,Date to Pay
4180728,0,ONLINE_GATEWAY,TUITION,04/14/2025,"49,100.00",,418072820250414145825,OG_VMC,,,,,,
8250384,0,ONLINE_GATEWAY,TUITION,04/14/2025,"52,774.15",,825038420250414221317,OG_VMC,,,,,,
4220351,0,ONLINE_GATEWAY,TUITION,04/15/2025,"160,300.00",,422035120250415075155,OG_VMC,,,,,,
4170225,0,ONLINE_GATEWAY,TUITION,04/15/2025,"52,774.15",,4200382,MBTC,,,,,,
8240355,0,ONLINE_GATEWAY,TUITION,04/15/2025,"52,774.15",,4200383,MBTC,,,,,,
4160564,0,ONLINE_GATEWAY,TUITION,04/15/2025,"52,774.15",,4200384,MBTC,,,,,,
4170459,0,ONLINE_GATEWAY,TUITION,04/15/2025,300,,4200385,MBTC,,,,,,
4170459,0,ONLINE_GATEWAY,TUITION,04/15/2025,"1,350.00",,4200386,MBTC,,,,,,
4210001,0,ONLINE_GATEWAY,TUITION,04/15/2025,600,,4200387,BDO,,,,,,
4180337,0,ONLINE_GATEWAY,TUITION,04/15/2025,600,,4200388,BDO,,,,,,
4160555,0,ONLINE_GATEWAY,TUITION,04/15/2025,"25,246.95",,4200389,BDO,,,,,,
4160555,0,ONLINE_GATEWAY,TUITION,04/15/2025,"23,892.05",,4200390,BDO,,,,,,
4160555,0,ONLINE_GATEWAY,TUITION,04/15/2025,"22,892.05",,4200391,BDO,,,,,,
4180728,0,ONLINE_GATEWAY,TUITION,04/15/2025,"49,100.00",,4200392,BDO,,,,,,
4180728,0,ONLINE_GATEWAY,TUITION,04/15/2025,"30,000.00",,4200393,BDO,,,,,,
8250384,0,ONLINE_GATEWAY,TUITION,04/15/2025,50000,,4200394,MBTC,,,,,,
8250384,0,ONLINE_GATEWAY,TUITION,04/15/2025,51774.15,,4200395,MBTC,,,,,,
8250384,0,ONLINE_GATEWAY,TUITION,04/15/2025,52774.15,,4200396,MBTC,,,,,,
