Student Number,School Year,Payment Mode,Purpose of Payment,Date of Payment,Amount,Remarks,Transaction Number,Bank Name,Bank Branch,Check Number,Issuing Bank,Card Number,Signatory in Letter,Date to Pay
999999,0,ONLINE_GATEWAY,TUITION,03/25/2025,45700, ,4220232,MBTC,Invalid Student ID,,,,,
4220999,0,ONLINE_GATEWAY,TUITION,03/25/2025,45700, ,4220232,MBTC,No Assessment,,,,,
4220232,0,ONLINE_GATEWAY,TUITION,03/25/2025,45700, ,4220232,MBTC,No Assessment, , , , , 
4200381,0,ONLINE_GATEWAY,TUITION,03/25/2025,46400.01, ,4200381,MBTC,No Assessment, , , , , 
4180728,0,ONLINE_GATEWAY,TUITION,04/14/2025,"49,100.00",,418072820250414145825,OG_VMC,Payments Verif Table,,,,,
8250384,0,ONLINE_GATEWAY,TUITION,04/14/2025,"52,774.15",,825038420250414221317,OG_VMC,Payments Verif Table,,,,,
4220351,0,ONLINE_GATEWAY,TUITION,04/15/2025,"160,300.00",,422035120250415075155,OG_VMC,Payments Verif Table,,,,,
4170225,0,ONLINE_GATEWAY,TUITION,04/15/2025,"52,774.15",,4200382,MBTC,300 Balance,,,,,
8240355,0,ONLINE_GATEWAY,TUITION,04/15/2025,"52,774.15",,4200383,MBTC,Negative Balance,,,,,
4160564,0,ONLINE_GATEWAY,TUITION,04/15/2025,"52,774.15",,4200384,MBTC,Negative Balance,,,,,
4170459,0,ONLINE_GATEWAY,TUITION,04/15/2025,300,,4200385,MBTC,300 Balance,,,,,
4170459,0,ONLINE_GATEWAY,TUITION,04/15/2025,"1,350.00",,4200386,MBTC,Prev SY Balance,,,,,
4210001,0,ONLINE_GATEWAY,TUITION,04/15/2025,600,,4200387,BDO,Prev SY Balance,,,,,
4180337,0,ONLINE_GATEWAY,TUITION,04/15/2025,600,,4200388,BDO,No Balance,,,,,
4160555,0,ONLINE_GATEWAY,TUITION,04/15/2025,"25,246.95",,4200389,BDO,2021 or will RPA pick 2022,,,,,
4160555,0,ONLINE_GATEWAY,TUITION,04/15/2025,"23,892.05",,4200390,BDO,2021 or will RPA pick 2022,,,,,
4160555,0,ONLINE_GATEWAY,TUITION,04/15/2025,"22,892.05",,4200391,BDO,2021 or will RPA pick 2022,,,,,
4180728,0,ONLINE_GATEWAY,TUITION,04/15/2025,"49,100.00",,4200392,BDO,Should just entry since paid Upon Reg,,,,,
4180728,0,ONLINE_GATEWAY,TUITION,04/15/2025,"30,000.00",,4200393,BDO,Should just entry since paid Upon Reg,,,,,
8250384,0,ONLINE_GATEWAY,TUITION,04/15/2025,50000,,4200394,MBTC,Not enough for Reg,,,,,
8250384,0,ONLINE_GATEWAY,TUITION,04/15/2025,51774.15,,4200395,MBTC,Enough for Reg (-1000),,,,,
8250384,0,ONLINE_GATEWAY,TUITION,04/15/2025,52774.15,,4200396,MBTC,Enough for Reg,,,,,
8250267,0,ONLINE_GATEWAY,TUITION,04/15/2025,30000,,4200396,MBTC,Should just entry since paid Upon Reg,,,,,
4210387,0,ONLINE_GATEWAY,TUITION,04/15/2025,30000,,4200396,MBTC,Balance not enough for reg,,,,,
4230239,0,ONLINE_GATEWAY,TUITION,04/15/2025,30000,,4200396,MBTC,No assessment,,,,,
