Student Number,School Year,Payment Mode,Purpose of Payment,Date of Payment,Amount,Remarks,Transaction Number,Bank Name,Bank Branch,Check Number,Issuing Bank,Card Number,Signatory in Letter,Date to Pay
4170225,0,ONLINE_GATEWAY,TUITION,04/15/2025,52774.15,,4200382,MBTC,,,,,,
8240355,0,ONLINE_GATEWAY,TUITION,04/15/2025,52774.15,,4200383,MBTC,,,,,,
4160564,0,ONLINE_GATEWAY,TUITION,04/15/2025,52774.15,,4200384,MBTC,,,,,,
4170459,0,ONLINE_GATEWAY,TUITION,04/15/2025,300,,4200385,MBTC,,,,,,
4170459,0,ONLINE_GATEWAY,TUITION,04/15/2025,1350.00,,4200386,MBTC,,,,,,
4210001,0,ONLINE_GATEWAY,TUITION,04/15/2025,600,,4200387,BDO,,,,,,
4180337,0,ONLINE_GATEWAY,TUITION,04/15/2025,600,,4200388,BDO,,,,,,
4160555,0,ONLINE_GATEWAY,TUITION,04/15/2025,25246.9,,4200389,BDO,,,,,,
4160555,0,ONLINE_GATEWAY,TUITION,04/15/2025,23892.05,,4200390,BDO,,,,,,
4160555,0,ONLINE_GATEWAY,TUITION,04/15/2025,22892.05,,4200391,BDO,,,,,,
4180728,0,ONLINE_GATEWAY,TUITION,04/15/2025,49100.00,,4200392,BDO,,,,,,
4180728,0,ONLINE_GATEWAY,TUITION,04/15/2025,30000.00,,4200393,BDO,,,,,,
8250384,0,ONLINE_GATEWAY,TUITION,04/15/2025,50000,,4200394,MBTC,,,,,,
8250384,0,ONLINE_GATEWAY,TUITION,04/15/2025,51774.15,,4200395,MBTC,,,,,,
8250384,0,ONLINE_GATEWAY,TUITION,04/15/2025,52774.15,,4200396,MBTC,,,,,,
8250267,0,ONLINE_GATEWAY,TUITION,04/15/2025,30000,,4200397,MBTC,,,,,,
4210387,0,ONLINE_GATEWAY,TUITION,04/15/2025,30000,,4200398,MBTC,,,,,,
4230239,0,ONLINE_GATEWAY,TUITION,04/15/2025,30000,,4200399,MBTC,,,,,,
